target,Categories,Nfreq,Vfreq,freq,NVratio,Vditrans,Vtrans,Vintrans,Nmorph,MorphStatus,rel_type
veteran,['noun'],140,0,211,141.0,False,False,False,0,may_include_a_root,rel
thief,['noun'],213,0,213,214.0,False,False,False,1,monomorphemic,rel
passenger,['noun'],730,0,730,731.0,False,False,False,0,may_include_a_root,rel
interior,['noun'],355,0,507,356.0,False,False,False,1,zero_derivation,rel
customer,['noun'],690,0,690,691.0,False,False,False,0,obscure,rel
opponent,['noun'],612,0,612,613.0,False,False,False,1,complex,rel
victim,['noun'],972,0,972,973.0,False,False,False,1,monomorphemic,rel
border,['noun'],785,100,885,7.782178218,False,True,False,0,may_include_a_root,rel
predator,['noun'],129,0,129,130.0,False,False,False,0,obscure,rel
assassin,['noun'],95,0,95,96.0,False,False,False,1,monomorphemic,rel
citizen,['noun'],867,0,867,868.0,False,False,False,1,monomorphemic,rel
president,['noun'],2469,0,2469,2470.0,False,False,False,1,complex,rel
heir,['noun'],174,0,174,175.0,False,False,False,1,monomorphemic,rel
candidate,['noun'],980,0,980,981.0,False,False,False,0,may_include_a_root,rel
succumb,['verb'],0,107,107,0.009259259259,False,False,True,1,monomorphemic,norel
lengthen,['verb'],0,111,111,0.008928571429,False,True,True,1,complex,norel
unpack,['verb'],0,84,84,0.01176470588,False,True,True,1,complex,norel
secede,['verb'],0,14,14,0.06666666667,False,False,True,1,monomorphemic,norel
defecate,['verb'],0,18,18,0.05263157895,False,False,True,0,obscure,norel
connive,['verb'],0,15,15,0.0625,False,False,True,1,monomorphemic,norel
withdraw,['verb'],0,775,775,0.001288659794,False,True,True,1,complex,norel
swelter,['verb'],0,5,5,0.1666666667,False,False,True,1,monomorphemic,norel
embark,['verb'],0,206,206,0.004830917874,False,True,True,1,complex,norel
yearn,['verb'],0,102,102,0.009708737864,False,False,True,1,monomorphemic,norel
depose,['verb'],0,21,21,0.04545454545,False,True,True,0,obscure,norel
hibernate,['verb'],0,17,17,0.05555555556,False,False,True,0,obscure,norel
subsist,['verb'],0,32,32,0.0303030303,False,False,True,0,obscure,norel
obsolesce,['verb'],0,2,2,0.3333333333,False,False,True,0,may_include_a_root,norel
narrate,['verb'],0,13,13,0.07142857143,False,True,True,0,obscure,norel
deflate,['verb'],0,39,39,0.025,False,True,True,1,complex,norel
glean,['verb'],0,38,38,0.02564102564,False,True,True,1,monomorphemic,norel
pule,['verb'],0,2,2,0.3333333333,False,False,True,1,monomorphemic,norel
beware,['verb'],0,92,92,0.01075268817,False,True,True,0,may_include_a_root,norel
importune,['verb'],0,8,8,0.1111111111,False,True,True,0,may_include_a_root,norel
conceptualize,['verb'],0,8,8,0.1111111111,False,True,True,1,complex,norel
depart,['verb'],0,350,350,0.002849002849,False,False,True,0,obscure,norel
automate,['verb'],0,61,61,0.01612903226,False,True,True,0,obscure,norel
learn,['verb'],0,5524,5524,0.0001809954751,False,True,True,1,monomorphemic,norel
enlarge,['verb'],0,241,241,0.004132231405,False,True,True,1,complex,norel
sympathize,['verb'],0,97,97,0.01020408163,False,False,True,1,complex,norel
dawdle,['verb'],0,42,42,0.02325581395,False,False,True,1,monomorphemic,norel
jostle,['verb'],0,91,91,0.01086956522,False,True,True,1,monomorphemic,norel
agonize,['verb'],0,30,30,0.03225806452,False,True,True,1,complex,norel
thrive,['verb'],0,213,213,0.004672897196,False,False,True,1,monomorphemic,norel
oxidize,['verb'],0,8,8,0.1111111111,False,True,True,1,complex,norel
urinate,['verb'],0,53,53,0.01851851852,False,False,True,1,complex,norel
reap,['verb'],0,78,78,0.01265822785,False,True,True,1,monomorphemic,norel
behave,['verb'],0,825,825,0.001210653753,False,True,True,0,may_include_a_root,norel
frizzle,['verb'],0,5,5,0.1666666667,False,True,True,1,monomorphemic,norel
copulate,['verb'],0,39,39,0.025,False,False,True,0,obscure,norel
broaden,['verb'],0,109,109,0.009090909091,False,True,True,1,complex,norel
croon,['verb'],0,36,36,0.02702702703,False,True,True,1,monomorphemic,norel
remarry,['verb'],0,41,41,0.02380952381,False,True,True,1,complex,norel
prosper,['verb'],0,106,106,0.009345794393,False,True,True,1,monomorphemic,norel
sever,['verb'],0,129,129,0.007692307692,False,True,True,1,monomorphemic,norel
exude,['verb'],0,58,58,0.01694915254,False,True,True,0,may_include_a_root,norel
roughen,['verb'],0,16,16,0.05882352941,False,True,True,1,complex,norel
exaggerate,['verb'],0,231,231,0.004310344828,False,True,True,0,obscure,norel
fornicate,['verb'],0,4,4,0.2,False,False,True,0,obscure,norel
splatter,['verb'],0,32,32,0.0303030303,False,True,True,1,complex,norel
diversify,['verb'],0,66,66,0.01492537313,False,True,True,1,complex,norel
practise,['verb'],0,870,870,0.001148105626,False,True,True,0,obscure,norel
reactivate,['verb'],0,10,10,0.09090909091,False,True,True,1,complex,norel
compete,['verb'],0,469,469,0.002127659574,False,False,True,1,monomorphemic,norel
toddle,['verb'],0,23,23,0.04166666667,False,False,True,1,monomorphemic,norel
reflate,['verb'],0,13,13,0.07142857143,False,True,True,1,complex,norel
err,['verb'],0,51,51,0.01923076923,False,False,True,1,monomorphemic,norel
flunk,['verb'],0,17,17,0.05555555556,False,True,True,1,monomorphemic,norel
particularize,['verb'],0,10,10,0.09090909091,False,True,True,1,complex,norel
deliquesce,['verb'],0,1,1,0.5,False,False,True,0,obscure,norel
appreciate,['verb'],0,624,624,0.0016,False,True,True,0,obscure,norel
collide,['verb'],0,93,93,0.01063829787,False,False,True,0,may_include_a_root,norel
disembark,['verb'],0,19,19,0.05,False,True,True,1,complex,norel
fumble,['verb'],0,156,156,0.006369426752,False,True,True,1,monomorphemic,norel
josh,['verb'],0,34,34,0.02857142857,False,True,True,1,monomorphemic,norel
flatter,['verb'],0,229,229,0.004347826087,False,True,True,0,may_include_a_root,norel
flatten,['verb'],0,169,169,0.005882352941,False,True,True,1,complex,norel
matriculate,['verb'],0,8,8,0.1111111111,False,True,True,0,obscure,norel
pulverize,['verb'],0,21,21,0.04545454545,False,True,True,0,obscure,norel
procure,['verb'],0,44,44,0.02222222222,True,True,True,0,obscure,norel
agitate,['verb'],0,25,25,0.03846153846,False,True,True,0,obscure,norel
coalesce,['verb'],0,32,32,0.0303030303,False,False,True,0,obscure,norel
occur,['verb'],0,2232,2232,0.000447828034,False,False,True,1,monomorphemic,norel
escalate,['verb'],0,100,100,0.009900990099,False,True,True,0,obscure,norel
suffice,['verb'],0,93,93,0.01063829787,False,True,True,0,obscure,norel
industrialize,['verb'],0,171,171,0.005813953488,False,True,True,1,complex,norel
canoodle,['verb'],0,1,1,0.5,False,False,True,0,obscure,norel
despond,['verb'],0,4,4,0.2,False,False,True,0,may_include_a_root,norel
develop,['verb'],0,4492,4492,0.0002225684398,False,True,True,0,may_include_a_root,norel
inquire,['verb'],0,464,464,0.002150537634,False,True,True,0,may_include_a_root,norel
pester,['verb'],0,38,38,0.02564102564,False,True,True,1,complex,norel
exult,['verb'],0,17,17,0.05555555556,False,False,True,0,may_include_a_root,norel
sadden,['verb'],0,59,59,0.01666666667,False,True,True,1,complex,norel
assemble,['verb'],0,425,425,0.00234741784,False,True,True,0,may_include_a_root,norel
dabble,['verb'],0,43,43,0.02272727273,False,False,True,1,complex,norel
decide,['verb'],0,4479,4479,0.0002232142857,False,True,True,1,monomorphemic,norel
ask,['verb'],0,14651,14651,6.83e-05,True,True,True,1,monomorphemic,norel
rejuvenate,['verb'],0,35,35,0.02777777778,False,True,True,1,complex,norel
criticize,['verb'],0,498,498,0.002004008016,False,True,True,1,complex,norel
shrivel,['verb'],0,76,76,0.01298701299,False,True,True,1,monomorphemic,norel
rhapsodize,['verb'],0,2,2,0.3333333333,False,False,True,1,complex,norel
conjoin,['verb'],0,7,7,0.125,False,True,True,0,obscure,norel
threaten,['verb'],0,1127,1127,0.0008865248227,False,True,True,1,complex,norel
romanticize,['verb'],0,18,18,0.05263157895,False,True,True,1,complex,norel
stagnate,['verb'],0,29,29,0.03333333333,False,False,True,0,obscure,norel
maraud,['verb'],0,29,29,0.03333333333,False,False,True,1,monomorphemic,norel
teethe,['verb'],0,56,56,0.01754385965,False,False,True,1,zero_derivation,norel
evangelize,['verb'],0,3,3,0.25,False,True,True,1,complex,norel
manage,['verb'],0,2289,2289,0.0004366812227,False,True,True,0,obscure,norel
depreciate,['verb'],0,14,14,0.06666666667,False,True,True,0,obscure,norel
innovate,['verb'],0,27,27,0.03571428571,False,False,True,0,obscure,norel
bloat,['verb'],0,12,12,0.07692307692,False,True,True,1,monomorphemic,norel
brighten,['verb'],0,87,87,0.01136363636,False,True,True,1,complex,norel
hector,['verb'],0,37,37,0.02631578947,False,True,True,1,monomorphemic,norel
interfere,['verb'],0,390,390,0.002557544757,False,False,True,0,obscure,norel
lose,['verb'],0,6086,6086,0.0001642845408,True,True,True,1,monomorphemic,norel
percolate,['verb'],0,21,21,0.04545454545,False,True,True,0,obscure,norel
retrieve,['verb'],0,168,168,0.005917159763,False,True,True,0,obscure,norel
reciprocate,['verb'],0,34,34,0.02857142857,False,True,True,1,complex,norel
shunt,['verb'],0,42,42,0.02325581395,False,True,True,1,monomorphemic,norel
recycle,['verb'],0,178,178,0.005586592179,False,True,True,1,complex,norel
collaborate,['verb'],0,72,72,0.01369863014,False,False,True,1,complex,norel
survive,['verb'],0,1603,1603,0.0006234413965,False,True,True,0,obscure,norel
operate,['verb'],0,1476,1476,0.0006770480704,False,True,True,0,obscure,norel
abate,['verb'],0,42,42,0.02325581395,False,True,True,0,may_include_a_root,norel
shush,['verb'],0,25,25,0.03846153846,False,True,True,1,monomorphemic,norel
foreclose,['verb'],0,13,13,0.07142857143,False,True,True,0,obscure,norel
worsen,['verb'],0,67,67,0.01470588235,False,True,True,1,complex,norel
reload,['verb'],0,20,20,0.04761904762,False,True,True,1,complex,norel
wheedle,['verb'],0,30,30,0.03225806452,False,False,True,1,monomorphemic,norel
deepen,['verb'],0,137,137,0.007246376812,False,True,True,1,complex,norel
affirm,['verb'],0,103,103,0.009615384615,False,True,True,1,complex,norel
recuperate,['verb'],0,19,19,0.05,False,True,True,0,obscure,norel
disappear,['verb'],0,1234,1234,0.0008097165992,False,False,True,1,complex,norel
evolve,['verb'],0,438,438,0.002277904328,False,True,True,0,may_include_a_root,norel
inherit,['verb'],0,435,435,0.002293577982,False,True,True,1,monomorphemic,norel
addle,['verb'],0,14,14,0.06666666667,False,True,True,1,monomorphemic,norel
meander,['verb'],0,28,28,0.03448275862,False,False,True,1,monomorphemic,norel
redouble,['verb'],0,32,32,0.0303030303,False,True,True,1,complex,norel
stiffen,['verb'],0,106,106,0.009345794393,False,True,True,1,complex,norel
calve,['verb'],0,13,13,0.07142857143,False,False,True,1,zero_derivation,norel
legislate,['verb'],0,48,48,0.02040816327,False,False,True,0,obscure,norel
fossilize,['verb'],0,38,38,0.02564102564,False,True,True,1,complex,norel
submerge,['verb'],0,62,62,0.01587301587,False,True,True,1,complex,norel
jaywalk,['verb'],0,1,1,0.5,False,False,True,1,complex,norel
proofread,['verb'],0,3,3,0.25,False,True,True,1,complex,norel
capsize,['verb'],0,18,18,0.05263157895,False,True,True,0,obscure,norel
disunite,['verb'],0,6,6,0.1428571429,False,True,True,1,complex,norel
fulminate,['verb'],0,10,10,0.09090909091,False,False,True,0,obscure,norel
repine,['verb'],0,5,5,0.1666666667,False,False,True,1,complex,norel
assist,['verb'],0,362,362,0.002754820937,False,True,True,1,monomorphemic,norel
resign,['verb'],0,424,424,0.002352941176,False,True,True,0,may_include_a_root,norel
commute,['verb'],0,50,50,0.01960784314,False,True,True,1,monomorphemic,norel
straighten,['verb'],0,330,330,0.003021148036,False,True,True,1,complex,norel
polarize,['verb'],0,49,49,0.02,False,True,True,1,complex,norel
specialize,['verb'],0,180,180,0.005524861878,False,False,True,1,complex,norel
remain,['verb'],0,4696,4696,0.0002129018522,False,False,True,0,may_include_a_root,norel
mainline,['verb'],0,4,4,0.2,False,False,True,1,complex,norel
politicize,['verb'],0,19,19,0.05,False,True,True,1,complex,norel
wither,['verb'],0,153,153,0.006493506494,False,True,True,0,may_include_a_root,norel
differentiate,['verb'],0,107,107,0.009259259259,False,True,True,0,obscure,norel
blanch,['verb'],0,46,46,0.02127659574,False,True,True,1,monomorphemic,norel
converge,['verb'],0,104,104,0.009523809524,False,False,True,2,complex,norel
equivocate,['verb'],0,12,12,0.07692307692,False,False,True,0,obscure,norel
prescribe,['verb'],0,204,204,0.00487804878,True,True,True,0,obscure,norel
civilize,['verb'],0,318,318,0.003134796238,False,True,True,1,complex,norel
unveil,['verb'],0,52,52,0.01886792453,False,True,True,1,complex,norel
segregate,['verb'],0,38,38,0.02564102564,False,True,True,0,obscure,norel
translate,['verb'],0,356,356,0.002801120448,False,True,True,0,obscure,norel
cater,['verb'],0,249,249,0.004,False,True,True,1,monomorphemic,norel
compose,['verb'],0,472,472,0.002114164905,False,True,True,0,may_include_a_root,norel
peddle,['verb'],0,25,25,0.03846153846,False,True,True,0,may_include_a_root,norel
protrude,['verb'],0,136,136,0.007299270073,False,True,True,0,may_include_a_root,norel
disarm,['verb'],0,100,100,0.009900990099,False,True,True,1,complex,norel
footslog,['verb'],0,1,1,0.5,False,False,True,1,complex,norel
clarify,['verb'],0,142,142,0.006993006993,False,True,True,1,complex,norel
have,['verb'],0,242066,242066,4.13e-06,False,True,True,1,monomorphemic,norel
rove,['verb'],0,45,45,0.02173913043,False,True,True,1,monomorphemic,norel
thicken,['verb'],0,116,116,0.008547008547,False,True,True,1,complex,norel
disport,['verb'],0,15,15,0.0625,False,True,True,0,may_include_a_root,norel
refuel,['verb'],0,37,37,0.02631578947,False,True,True,1,complex,norel
ought,['verb'],0,1845,1845,0.0005417118093,False,False,True,1,monomorphemic,norel
condense,['verb'],0,71,71,0.01388888889,False,True,True,1,monomorphemic,norel
conceive,['verb'],0,361,361,0.002762430939,False,True,True,0,may_include_a_root,norel
metamorphose,['verb'],0,19,19,0.05,False,True,True,1,monomorphemic,norel
would,['verb'],0,18448,18448,5.42e-05,False,False,True,1,monomorphemic,norel
consolidate,['verb'],0,128,128,0.007751937985,False,True,True,1,complex,norel
begone,['verb'],0,2,2,0.3333333333,False,False,True,0,obscure,norel
expostulate,['verb'],0,17,17,0.05555555556,False,False,True,1,complex,norel
foliate,['verb'],0,4,4,0.2,False,True,True,0,obscure,norel
contradict,['verb'],0,131,131,0.007575757576,False,True,True,0,obscure,norel
blabber,['verb'],0,1,1,0.5,False,False,True,1,complex,norel
liquidate,['verb'],0,37,37,0.02631578947,False,True,True,0,obscure,norel
fasten,['verb'],0,186,186,0.005347593583,False,True,True,1,complex,norel
rob,['verb'],0,262,262,0.003802281369,False,True,True,1,monomorphemic,norel
entertain,['verb'],0,258,258,0.003861003861,False,True,True,0,may_include_a_root,norel
bate,['verb'],0,42,42,0.02325581395,False,True,True,1,monomorphemic,norel
stabilize,['verb'],0,81,81,0.01219512195,False,True,True,1,complex,norel
concur,['verb'],0,39,39,0.025,False,False,True,0,may_include_a_root,norel
insist,['verb'],0,1393,1393,0.0007173601148,False,True,True,0,may_include_a_root,norel
furl,['verb'],0,15,15,0.0625,False,True,True,1,monomorphemic,norel
weep,['verb'],0,499,499,0.002,False,True,True,1,monomorphemic,norel
reduce,['verb'],0,2127,2127,0.000469924812,False,True,True,0,obscure,norel
notate,['verb'],0,4,4,0.2,False,True,True,1,monomorphemic,norel
rouse,['verb'],0,161,161,0.006172839506,False,True,True,1,monomorphemic,norel
proliferate,['verb'],0,49,49,0.02,False,False,True,1,complex,norel
snivel,['verb'],0,24,24,0.04,False,False,True,1,monomorphemic,norel
desegregate,['verb'],0,1,1,0.5,False,True,True,1,complex,norel
intersect,['verb'],0,28,28,0.03448275862,False,True,True,0,obscure,norel
abdicate,['verb'],0,40,40,0.0243902439,False,True,True,0,obscure,norel
officiate,['verb'],0,20,20,0.04761904762,False,False,True,1,complex,norel
amass,['verb'],0,39,39,0.025,False,True,True,0,obscure,norel
toughen,['verb'],0,24,24,0.04,False,True,True,1,complex,norel
niggle,['verb'],0,13,13,0.07142857143,False,False,True,1,monomorphemic,norel
stifle,['verb'],0,156,156,0.006369426752,False,True,True,1,monomorphemic,norel
cringe,['verb'],0,47,47,0.02083333333,False,False,True,1,monomorphemic,norel
shirk,['verb'],0,18,18,0.05263157895,False,True,True,1,monomorphemic,norel
etch,['verb'],0,53,53,0.01851851852,False,True,True,1,monomorphemic,norel
shew,['verb'],0,4,4,0.2,True,True,True,1,monomorphemic,norel
idealize,['verb'],0,54,54,0.01818181818,False,True,True,1,complex,norel
gloat,['verb'],0,28,28,0.03448275862,False,False,True,1,monomorphemic,norel
procrastinate,['verb'],0,6,6,0.1428571429,False,False,True,0,obscure,norel
fraternize,['verb'],0,4,4,0.2,False,False,True,1,complex,norel
dissolve,['verb'],0,330,330,0.003021148036,False,True,True,0,obscure,norel
attend,['verb'],0,1340,1340,0.0007457121551,False,True,True,0,may_include_a_root,norel
budge,['verb'],0,47,47,0.02083333333,False,True,True,1,monomorphemic,norel
ulcerate,['verb'],0,6,6,0.1428571429,False,True,True,1,complex,norel
stridulate,['verb'],0,1,1,0.5,False,False,True,0,obscure,norel
congregate,['verb'],0,43,43,0.02272727273,False,True,True,0,obscure,norel
diminish,['verb'],0,465,465,0.002145922747,False,True,True,0,may_include_a_root,norel
strangulate,['verb'],0,5,5,0.1666666667,False,True,True,1,complex,norel
topple,['verb'],0,97,97,0.01020408163,False,True,True,1,complex,norel
skimp,['verb'],0,19,19,0.05,False,True,True,1,monomorphemic,norel
editorialize,['verb'],0,3,3,0.25,False,False,True,1,complex,norel
disagree,['verb'],0,257,257,0.003875968992,False,False,True,1,complex,norel
distend,['verb'],0,36,36,0.02702702703,False,True,True,0,obscure,norel
synchronize,['verb'],0,24,24,0.04,False,True,True,1,complex,norel
relax,['verb'],0,958,958,0.001042752868,False,True,True,0,may_include_a_root,norel
debark,['verb'],0,10,10,0.09090909091,False,True,True,1,complex,norel
straddle,['verb'],0,50,50,0.01960784314,False,True,True,1,monomorphemic,norel
vary,['verb'],0,1010,1010,0.0009891196835,False,True,True,1,monomorphemic,norel
ameliorate,['verb'],0,18,18,0.05263157895,False,True,True,0,obscure,norel
knit,['verb'],0,169,169,0.005882352941,True,True,True,1,monomorphemic,norel
declaim,['verb'],0,17,17,0.05555555556,False,True,True,1,complex,norel
respond,['verb'],0,920,920,0.00108577633,False,True,True,1,monomorphemic,norel
collectivize,['verb'],0,25,25,0.03846153846,False,True,True,1,complex,norel
germinate,['verb'],0,24,24,0.04,False,True,True,0,obscure,norel
straggle,['verb'],0,35,35,0.02777777778,False,False,True,1,monomorphemic,norel
exist,['verb'],0,2361,2361,0.0004233700254,False,False,True,0,may_include_a_root,norel
mourn,['verb'],0,110,110,0.009009009009,False,True,True,1,monomorphemic,norel
overstock,['verb'],0,9,9,0.1,False,True,True,1,complex,norel
overarch,['verb'],0,5,5,0.1666666667,False,True,True,1,complex,norel
abscond,['verb'],0,5,5,0.1666666667,False,False,True,0,may_include_a_root,norel
dangle,['verb'],0,175,175,0.005681818182,False,True,True,1,monomorphemic,norel
degrade,['verb'],0,139,139,0.007142857143,False,True,True,1,complex,norel
write,['verb'],0,8317,8317,0.000120221207,True,True,True,1,monomorphemic,norel
cavil,['verb'],0,8,8,0.1111111111,False,False,True,1,monomorphemic,norel
indicate,['verb'],0,1348,1348,0.0007412898443,False,True,True,0,obscure,norel
knead,['verb'],0,52,52,0.01886792453,False,True,True,1,monomorphemic,norel
intoxicate,['verb'],0,42,42,0.02325581395,False,True,True,1,complex,norel
assimilate,['verb'],0,113,113,0.008771929825,False,True,True,1,complex,norel
carve,['verb'],0,350,350,0.002849002849,True,True,True,1,monomorphemic,norel
overcompensate,['verb'],0,7,7,0.125,False,False,True,1,complex,norel
vivisect,['verb'],0,1,1,0.5,False,True,True,0,may_include_a_root,norel
defrost,['verb'],0,16,16,0.05882352941,False,True,True,1,complex,norel
attenuate,['verb'],0,21,21,0.04545454545,False,True,True,0,obscure,norel
suppurate,['verb'],0,12,12,0.07692307692,False,False,True,0,obscure,norel
agree,['verb'],0,3424,3424,0.0002919708029,False,True,True,1,monomorphemic,norel
totalize,['verb'],0,1,1,0.5,False,True,True,1,complex,norel
skyrocket,['verb'],0,7,7,0.125,False,False,True,1,complex,norel
accept,['verb'],0,3712,3712,0.0002693239968,False,True,True,0,may_include_a_root,norel
cling,['verb'],0,489,489,0.002040816327,False,False,True,1,monomorphemic,norel
coarsen,['verb'],0,16,16,0.05882352941,False,True,True,1,complex,norel
propose,['verb'],0,1132,1132,0.0008826125331,False,True,True,1,complex,norel
consult,['verb'],0,562,562,0.001776198934,False,True,True,0,may_include_a_root,norel
covet,['verb'],0,41,41,0.02380952381,False,True,True,1,monomorphemic,norel
sew,['verb'],0,201,201,0.00495049505,False,True,True,1,monomorphemic,norel
electioneer,['verb'],0,1,1,0.5,False,False,True,1,complex,norel
vanish,['verb'],0,729,729,0.001369863014,False,False,True,0,may_include_a_root,norel
teeter,['verb'],0,47,47,0.02083333333,False,False,True,1,monomorphemic,norel
constipate,['verb'],0,1,1,0.5,False,True,True,0,obscure,norel
be,['verb'],0,687085,687085,1.46e-06,False,False,True,1,monomorphemic,norel
blench,['verb'],0,9,9,0.1,False,False,True,1,monomorphemic,norel
chide,['verb'],0,34,34,0.02857142857,False,False,True,1,monomorphemic,norel
resonate,['verb'],0,21,21,0.04545454545,False,False,True,0,obscure,norel
send,['verb'],0,4822,4822,0.00020733983,True,True,True,1,monomorphemic,norel
mortify,['verb'],0,22,22,0.04347826087,False,True,True,0,obscure,norel
lactate,['verb'],0,7,7,0.125,False,False,True,0,obscure,norel
comply,['verb'],0,112,112,0.008849557522,False,False,True,0,may_include_a_root,norel
merge,['verb'],0,212,212,0.004694835681,False,True,True,1,monomorphemic,norel
misunderstand,['verb'],0,137,137,0.007246376812,False,True,True,1,complex,norel
soar,['verb'],0,180,180,0.005524861878,False,False,True,1,monomorphemic,norel
flinch,['verb'],0,94,94,0.01052631579,False,False,True,1,monomorphemic,norel
overestimate,['verb'],0,48,48,0.02040816327,False,True,True,1,complex,norel
freewheel,['verb'],0,11,11,0.08333333333,False,False,True,1,complex,norel
restock,['verb'],0,12,12,0.07692307692,False,True,True,1,complex,norel
generalize,['verb'],0,124,124,0.008,False,True,True,1,complex,norel
burgle,['verb'],0,17,17,0.05555555556,False,True,True,1,monomorphemic,norel
vegetate,['verb'],0,10,10,0.09090909091,False,False,True,0,obscure,norel
grovel,['verb'],0,21,21,0.04545454545,False,False,True,1,monomorphemic,norel
dogmatize,['verb'],0,8,8,0.1111111111,False,True,True,1,complex,norel
inflate,['verb'],0,59,59,0.01666666667,False,True,True,0,may_include_a_root,norel
totter,['verb'],0,90,90,0.01098901099,False,False,True,1,monomorphemic,norel
sue,['verb'],0,220,220,0.004524886878,False,True,True,1,monomorphemic,norel
bicker,['verb'],0,23,23,0.04166666667,False,False,True,0,may_include_a_root,norel
grizzle,['verb'],0,5,5,0.1666666667,False,True,True,1,monomorphemic,norel
galumph,['verb'],0,3,3,0.25,False,False,True,1,monomorphemic,norel
satisfy,['verb'],0,1016,1016,0.0009832841691,True,True,True,0,obscure,norel
detonate,['verb'],0,36,36,0.02702702703,False,True,True,0,obscure,norel
conspire,['verb'],0,74,74,0.01333333333,False,False,True,0,may_include_a_root,norel
judder,['verb'],0,9,9,0.1,False,False,True,0,may_include_a_root,norel
entrench,['verb'],0,14,14,0.06666666667,False,False,True,1,complex,norel
remember,['verb'],0,6538,6538,0.0001529285824,False,True,True,0,obscure,norel
offend,['verb'],0,310,310,0.003215434084,False,True,True,0,may_include_a_root,norel
suffocate,['verb'],0,88,88,0.01123595506,False,True,True,0,obscure,norel
hallucinate,['verb'],0,18,18,0.05263157895,False,False,True,0,obscure,norel
subdivide,['verb'],0,31,31,0.03125,False,True,True,1,complex,norel
rationalize,['verb'],0,81,81,0.01219512195,False,True,True,1,complex,norel
boggle,['verb'],0,16,16,0.05882352941,False,False,True,1,monomorphemic,norel
gnaw,['verb'],0,79,79,0.0125,False,True,True,1,monomorphemic,norel
conclude,['verb'],0,763,763,0.001308900524,False,True,True,0,may_include_a_root,norel
hover,['verb'],0,214,214,0.004651162791,False,False,True,0,may_include_a_root,norel
solicit,['verb'],0,46,46,0.02127659574,False,True,True,1,monomorphemic,norel
curdle,['verb'],0,36,36,0.02702702703,False,True,True,1,monomorphemic,norel
skim,['verb'],0,137,137,0.007246376812,False,True,True,1,monomorphemic,norel
sentimentalize,['verb'],0,16,16,0.05882352941,False,True,True,1,complex,norel
erode,['verb'],0,158,158,0.006289308176,False,True,True,0,obscure,norel
genuflect,['verb'],0,12,12,0.07692307692,False,False,True,0,may_include_a_root,norel
dunk,['verb'],0,14,14,0.06666666667,False,True,True,1,monomorphemic,norel
kindle,['verb'],0,41,41,0.02380952381,False,True,True,1,monomorphemic,norel
backtrack,['verb'],0,13,13,0.07142857143,False,False,True,1,complex,norel
